perform|表演,工作|795181|53687629|60|788385|9|4.4|17
performance|执行,演技|264318|53429292|43|216300|5|4.1|16
period|周期,课时|266502|53429292|44|1333531|6|4.3|18
periodical|周期的,期刊|282165|53429293|79|673107|12|4.7|14
perish|死亡,腐烂|987420|53687629|71|626372|11|4.1|15
perpetual|永恒的,反复的|282236|53429293|84|779558|14|5|14
perplex|使困惑,使复杂|672846|53514797|53|393308|7|4.3|17
perspective|观点,判断力|827676|53460973|115|1627581|20|4.6|18
pessimistic|悲观的|926253|53596782|68|675371|10|4.6|19
optimistic|乐观的|1|1|13|100262|2|1.2|1
optimum|最有利的|736659|53440253|86|6007887|14|4.8|15
optional|选修的|725276|53535235|55|318021|7|4.1|16
organ|机构,器官|541774|53514797|45|272307|5|4.1|16
organic|器官的,生物的|672846|53514798|53|386684|8|4.4|17
organism|有机体,微生物|736590|53440254|85|914207|13|4.9|15
enhance|提高,增强|270871|53429294|45|262446|6|4.3|17
enlarge|放大,扩展|299269|53429294|48|239844|7|4.2|17
enlighten|启发,教育|303638|53429294|49|278172|6|4.2|17
rake|浪子,耙状物|803918|53687630|61|433040|9|4.4|17
rare|稀少的,稀薄的|860717|53687630|64|620244|9|4.4|19
rarely|难得,非常地|826446|53460974|77|981123|11|4.4|18
rate|比率,速度|1|1|20|244714|3|1.4|4
ratio|比率|1|1|16|75739|3|1.0|0
rational|合理的,理性的|827821|53460975|120|2684861|23|4.8|22
realistic|现实的,明智的|828051|53460975|126|2345316|22|4.6|19
reality|现实,事实|826413|53460976|76|628038|12|4.5|19
sense|意义,意识|826190|53460977|69|1387509|13|4.9|18
sensation|知觉,轰动|828205|53460977|132|4899548|24|4.4|20
sensible|明智的,明显的|826318|53460978|73|708543|11|4.4|18
sensitive|敏感的,体贴的|826396|53460978|75|554588|12|4.3|19
separate|分开的,不同的|952467|53687631|70|18982702|10|4.4|18
sequence|先后,一系列|826140|53460979|67|462080|11|4.4|19
serial|连续的,连载小说|826515|53460979|78|723241|14|4.3|19
series|连续|266502|53429296|44|170842|5|4.2|17
serious|严肃的,严重的|866588|53596782|79|618325|13|4.6|18
toast|吐司,干杯|312376|53429296|50|230662|6|4.2|17
together|一起,合起来|803918|53687631|61|387578|9|4.3|17
token|表示,纪念品|867219|53596783|90|818565|16|4.3|19
tolerance|容忍,耐性|312376|53429297|50|424642|6|4.2|17
