a 阿
ab 阿贝
able 阿宝,能够
ac 阿珂
aliz 恩莱兹
ally 阿莱
am 俺
ana 安娜
ation A神
au 偶
b 波,啵
ba 霸,扒,比
bal 布偶,剥
ban 扁,禁止
bark 狗叫
bby 碧,逼
bel 鳖儿,憋
ben 笨,奔
ber 本儿
bi B,哔
bility 能耐
bious 比尔斯
bit 比特
ble able,保,爆
bo 波,拨
bra 卜锐
bric 布瑞克
bryo 卜瑞友
bu 庇佑
c 柯
ca 擦,K
cal 凯,口
cam 卡姆,看
can 能
cap 帽子
car 卡尔,车,咔
care 葛叶尔
ccu Q
ccur 可儿,渴
ce 司,撕
cee 系,戏
ceed 希德
cei 司易,肆意
cen 森,蹭
cene 信
cep 赛普
cer 瑟尔,涩
cere 司系尔,戏
cess 赛斯,税
ch 吃
cha 插,课业
cham 称
chan 唱
chase 追逐
che 磕,切
cheme 隔音
cho 抠
chro 戳
chu 秀
chur 车
ci 刺,塞
cial 秀
cian 神
cien 神
cient 神特
cil 搜
cile 塞有
cion 神
cious 修司,秀死
cir 瑟尔
cism 细则
city 城市
cize 赛紫
ck 渴
cla 克莱
claim 渴累
cle 口
cline 柯莱恩,渐变群
clo 可漏
co 抠
con 康,扛
core 过儿
corn 宫二
coun 康
cour 口
cre Q
cs CS
ct 科特
cter 渴特儿
cu Q
cue Q
cuit K他
cul 抠
cy 司艺,塞
d 的
da 打,呆
dam 典,颠
dant 丹途,等他
daw 岛,倒
de 德,的
dea 蝶,跌
den 等
dent 登途,等他
der 得
deres 德斯
dge 基
di 敌
ding 鼎
dit 迪特
do 兜,躲
dom 冬,等
don 灯
dor 德尔,的
dous 陡斯
dra 拽
dri 坠,拽
du 赌,丢
duc 大可,文献,打克
dul 道,逗
dule 酒,救
dun 当
dur 丢
dure 结尔,救
dy 帝
e 娥,依
ea 易
em 尹,拿
en 音
er 儿
esy 戏
ex 前任
fa 乏,发,说
fab 法宝,说
fe 菲,飞,不,钱
feat 功绩,灵巧的
fect 菲柯特
fen 风
fend 风度
fer 法尔
ffe 风衣
ffec 菲克
ffend 冯燕的
ffer 法尔
ffi 菲
ffort 菲尔特
fi 妃
fic 菲克
fiel 费油
fier 菲儿
figh 抚爱
fik 服役克
fil 菲幼,线条
fit 菲特
ft 斧头
fu 浮游
fund 资金,投资
fy 飞
g 歌
ga 给,尬
gal 勾
gan 干
gant 跟它
gar 尬
gate 给他
gau 给,gay
ge 鸽,姬
gen 尖
gence 简思,整死
gent 简涂,监听
geous 极尔思
ger 歌二
gge 解
gger 阁
ggle 构
gi 给,姬
gian 简,整
gic 即刻,饥渴
gime 任意,忍依
gin 紧
gine 知音
gis 祭祀
gor 搞
gra 歌若,给绕
gral 歌柔,girl
grate 格瑞塔
gre 格瑞
gree 格力
gu 鼓
guard 守卫
gue 孤儿
guish 鬼使
gure 歌儿
ha 哈
hal 后,吼
han 含
har 哈尔
hea 嘿
head 头
hear 听
hel 嗨呀
hele 嘿呦
hen 汗
hi 嘿
hum 哼
i 依,我
ig 一哥
il 姨
illi 伊犁
in 音
ity 一体
je 界
ju 朱
jun 降
k 科
ke 可,渴
kull 考
la 蜡,拉
lain 泪,位于
lan 蓝
lar 拉儿
late 雷它,迟的
le 乐,离
lea 立
lec 莱克
lee 莉
lei 雷
len 冷
lent 楞特
ler 乐儿
lert 乐天
less 赖斯,较少
let 莱特
li 离,来
lia 梨儿
liar 丽儿
lid 李笛
lie 赖
lle 丽
llec 莱克
llel 露
llen 冷
lli 丽
llo 萝
llow low
lloy 洛伊
lly 丽
lo 萝
lous 罗斯
loved 热爱
lu 撸,辣
luc 拉克,拉客
lun 冷,浪
lus 撸死
ly 离,来
lying 莱茵
ma 马,买,妹
mai 美
mal 谋
man 男人
mar 玛
mathe 数学
mea 米
mel 某
ment 门徒
mes miss
met 美特
mi 芈
mic 米可
mise miss
mit 米特
mo 摸
moo 沐
mos 摸死
mour 猫儿
mu 木有
mys 没死
na 娜
naire 妮儿
nal 拿
nan 南
nant 难题,能特
nate 内特
nau 闹
ne 呢
neer 聂儿
nel 弄
nent 嫩特
neous 尼尔斯
ner 闹尔,
ness 捏死,溺死
net 奈特
neu 妞
ni 尼,耐
nic 妮可
nile 奶油
nine 粘
nion 念
nior 倪儿
nity 你踢
nius 扭死
no 弄,没有
nor 诺
nore 诺二
noun 闹
nue 扭
ny 倪
o 偶
ob 欧巴
off 离开
ous 藕丝
over 超过
p 啪,仆
pa 怕,陪
paign 瓶
pain 拼
pale 佩有
pan 平底锅
pand 胖的
pant 喘气
par 怕
pare 陪叶儿
pass 通过
pe 陪
pec 片刻
pect 派克特
pel 佩儿
pend 胖的
per 帕尔
pert 珀特,无礼的
ph 符
phar 发儿
pherd 佩儿的
phere 菲儿
phic 菲克
pi 劈,派
pie 屁
pil 丕幼
pin 拼
pio 派尔
pion 屁恩
pire 派尔
pis 劈死
plo 泡了
plus 加上
po 破
pon 胖
pond 胖的
poo 扑
por 泼
port 端口
ppo 泼
ppor 帕尔
pport 泼它
ppose pose
ppress press,压
pre 陪瑞
pri 蒲瑞
pro 朴若
ption 牌神
pu 泼油
pub 怕不
pur 喷
py PY
qua 括
que Q,客
quen 困
quent 捆它
ques 括约撕
qui 葵
quire 一刀
quo 阔
ra 弱,瑞
rai 瑞
rain 雨
ral 揉
ran 然
rate 瑞它3
re 瑞,重复
rea 日月
reat 日月特
reme 瑞米
ren 润
res 热死
ress 日月死
resul 结果
ret 惹他
ri 瑞
rial 瑞友
rie 蕊儿
rief 瑞福
rien 瑞恩
rill 瑞友
rine 润
rior 瑞尔
rious 瑞尔斯
rity 瑞踢
ro 揉
roar 弱
rone 容
ror 揉
rou 揉
rough 绕
rous 肉丝
rrass 弱死
rren 润
rrent 润特
ru 入,日瓦
rus 热死
ry 瑞
s 私
sa 撒,塞,萨
sal 搜
sar 三儿
sau 搜,锁
scar 司格尔
scen 私宴
sci 四喜
scien 塞恩
se 撕
sear 涩儿
sel 搜
ser 涩儿,惹
sess 晒死
set 设置
sh 湿
sha 傻,谁
shiel 室友
sho 手
shoul 室友
shu 削
si 死,塞,戏
sial 秀
sie 戏
sion 神
sis 思思
sition 戏神
sity 涩踢
sive 习武
sk 死磕
sor 搜
spec 斯派克
spect 斯派柯特
spring 春天
ss 撕
ssa 色
ssi 撕
ssic 死磕
ssio 神
ssion 圣
ssive 司仪舞
ssure 秀
st 私吞,斯通
stin 私定
stion 丝神
stitute 斯提特有的
stitution 斯提特优生
store 储存
strain 拉紧
strict 严格的
su 萨
suc 成功
sue 秀
sui 苏
suit 合适
sum 总数
sume 散
sup 撒普
sur 涩儿
surance 秀润丝
sure 可靠的
sus 瑟斯,杀死
sy 洗
sys 赛斯
t 他
ta 塔,胎,铁
tain 听
tance 疼死
tant 忐忑
tat TAT
tate 忒特
tch 吃
te 他,贴
teau 头
ted 特点
teer 提尔
teg 泰格
tem 疼
ten 疼
tend 疼的
tent 疼痛
ter 他
tes 特色
tex 泰克斯
th 私
the 这
thea 希尔
ther 这里
thi 戏
thir 涩儿
tho 骚
thun 燃
ti 踢
tia 希尔
tial 秀
tic 缇可
tical 踢口
tile 太油
tin 听
tine 听
tion 神
tive 体悟
tivity 体悟啼
tol 头
ton 头
tor 头儿
tra 吹,踹
tral 臭
tre 吹,它
trea 吹
trem 穿
treme 吹
tren 劝
tri 吹
tric 吹磕
trium 踹
tro 戳
trol 臭
tron 闯
true 求
ttach 太迟
ttack 泰克
ttain 听
ttempt 天棚他
tten 天
ttend 甜的
tter 他
ttern 疼
tti 踢
tting 挺
ttri 吹
tty 提
tu 偷,求
tual 求
tum 汤
tur 他
turn 转弯
twi 推
ty 踢
u 幼
ul 欧
un 暗
under 在下面
ur 儿
va 薇
vail 唯有
val 我
ve 舞,外
veal 唯有
vel 围殴
ven 文
ver 味儿
verse 玩死
vey 喂
vi 薇,外
vial 围殴
view 观察
vir 我
vise 外丝
vive 外物
vo 我
vol 我
volve 卧舞
vous 我死
vul 玩
vy 薇
wa 哇
wake 醒来
wan 玩
ward 我的
