perform|表演,工作|2192785|40371890|41|758931
performance|执行,演技|2870585|41159112|27|200371
period|周期,课时|2106141|40846639|25|1301219
periodical|周期的,期刊|2106137|40846643|58|612999
perish|死亡,腐烂|1648049|39702631|53|585268
perpetual|永恒的,反复的|808001|40486683|58|696961
perplex|使困惑,使复杂|2777082|41070908|36|366120
perspective|观点,判断力|1857692|40846655|93|1511817
pessimistic|悲观的|1549813|39821942|48|642718
optimistic|乐观的|72778365|37004934|12|94116
optimum|最有利的|1507105|40578099|63|5926626
optional|选修的|4559631|39854726|39|305120
organ|机构,器官|2870482|41159128|29|259916
organic|器官的,生物的|2194421|40493872|32|264339
organism|有机体,微生物|1139457|40490554|63|883749
enhance|提高,增强|1952314|39530336|26|231430
enlarge|放大,扩展|2537290|40846660|30|217915
enlighten|启发,教育|1637977|40333684|32|213449
rake|浪子,耙状物|713825|40660437|41|388802
rare|稀少的,稀薄的|1289681|40141299|44|580538
rarely|难得,非常地|1672506|39636190|59|964584
rate|比率,速度|1562570|41096079|16|227870
ratio|比率|72788353|37005127|16|75739
rational|合理的,理性的|733794|40578106|90|2562324
realistic|现实的,明智的|2314516|41082775|106|2161320
reality|现实,事实|2121585|39636211|56|474863
sense|意义,意识|1797255|39685618|39|1208781
sensation|知觉,轰动|2140997|40673401|110|4855953
sensible|明智的,明显的|2314484|41082779|54|679692
sensitive|敏感的,体贴的|1988261|41093958|54|501128
separate|分开的,不同的|1238516|40893564|52|507718
sequence|先后,一系列|713813|40660433|45|390419
serial|连续的,连载小说|733775|40578113|54|591342
series|连续|2420445|40119512|27|150378
serious|严肃的,严重的|781492|40426805|57|583155
toast|吐司,干杯|1609647|39938388|33|195988
together|一起,合起来|774791|40893571|42|358484
token|表示,纪念品|2242109|40333691|68|719421
tolerance|容忍,耐性|2420457|40119526|33|361795
tolerant|宽容的|2458617|40289315|20|156381
tolerate|容忍,默许|1912017|39636284|30|250889
accumulate|积累|72799237|37015370|10|37060
accuracy|准确性|72799245|37015374|12|76758
accuse|指控|72799255|37015380|10|55259
cheer|欢呼,鼓舞|781596|40426914|40|338791
cherish|珍爱,抱有|736289|40579715|60|445465
chip|打破,切削|151141|41070916|54|546127
boast|自吹自擂,引以为豪的事物|2121597|39636291|39|405067
bonus|奖金,意外收获|2121580|39636293|24|176056
boom|暴涨,繁荣期|2141055|40673449|45|2591005
boost|增加,帮助|430338|40938590|61|548836
verbal|口头的,用言辞的|2141047|40673453|39|1121359
verdict|判断,意见|432221|40771791|73|1666382
verify|证明,查清|1238385|40893605|64|966038
verse|诗句|223329|41116035|63|388852
version|翻译,看法|1857671|40846681|39|386639
vessel|容器,船|2375473|40649291|14|85586
acclaim|喝彩,高度评价|1163298|40846690|67|705289
accommodate|调和,帮助|489756|40976462|49|697180
accommodation|住宿,膳宿供应|1542559|40169879|21|215183
accomplish|达到,做到|1768092|40371910|34|266761
account|描述,视为|1163225|40846698|77|910466
bid|祝愿,命令|1238305|40893632|61|461506
charm|妩媚,魔力|1847509|39636296|21|142891
charge|充电,控告|1558812|41093955|21|135510
birth|血统|2202660|41159091|19|106302
bill|法案,广告|768114|40649951|36|252775
bias|偏见,偏重|358753|41070923|20|547307
chase|追逐|1296498|39890662|24|135464
demand|要求,查问|1950713|41093960|60|560021
democracy|民主,民主国家|432226|40771800|36|1137544
democratic|民主的|1152244|40486760|41|323988
demonstrate|论证,说明|432213|40771801|51|776525
denote|表示,是标志|627897|40726177|107|1518335
denial|否认,拒绝|2358189|40119748|37|234657
deny|否定,|1935386|40207029|13|80012
department|部,系|3114303|41026859|23|164915
depend|依靠|4339650|39727815|21|129347
dependent|依赖的|72800465|37015536|20|301526
deposit|存放,使沉积|432201|40771802|45|386217
depress|使沮丧,按下|432188|40771803|58|561593
emerge|出现|72808443|37015556|4|27167
emergency|紧急情况|72805829|37015560|14|2450199
eminent|杰出的,明显的|2409775|40119850|21|144386
fearful|可怕的|72809229|37015566|8|45840
federation|同盟|72800537|37015572|15|125779
feed|提供|72809249|37015576|7|42179
feedback|反馈|72809263|37015583|5|24070
feeling|同情,心情|1743140|40169892|25|176886
fertile|肥沃的,能繁殖的|2409772|40119856|24|160195
goal|目标,进球|2409781|40119868|15|486677
govern|统治,抑制|781053|40426917|40|710979
governor|总督,主管|893122|40333771|24|254098
gradual|逐步的|2908917|38833678|8|36800
graduate|毕业,毕业的|2409783|40119888|27|345628
grand|盛大的,主要的|2358417|40119898|39|376662
grant|同意,授予|68721|41159132|63|715512
heap|大量,堆积|1039457|40285959|49|379128
heal|治愈,调停|1383095|40673395|58|546114
hesitate|犹豫,含糊|2205039|41071010|28|287412
highlight|强调,使显著|2236717|40231736|25|322416
highland|高地,高原的|2236714|40231739|14|118799
highly|赞许的|72800747|37015678|27|244675
immediate|立即的,直接的|1412309|40649304|39|490605
immense|广大的|1179388|40119900|42|4371589
immerse|使浸没,使专心于|151338|41071061|55|1645363
immigrant|移民|72803141|37015741|16|93483
immune|免除的,免疫的|1509751|40579749|47|1957907
likely|很可能的,大概|2236695|40231741|29|246896
likelihood|可能性|72802041|37015762|26|1519882
likewise|同样的,也|72802049|37015766|24|159163
self|私心,本来面目|1412314|40649309|24|188376
meditate|沉思,谋划|759671|40846716|71|2373105
meditation|熟虑,打算|2064503|39809000|44|579844
medium|媒介,中间|2236668|40231744|33|278078
deprive|剥夺|3033653|40976484|48|419893
derive|取得,追溯起源|1098012|40371929|74|660568
describe|形容|72800267|37015794|22|111305
description|种类,描述|151433|41071135|71|767690
deserve|值得|1098012|40371932|28|195482
designate|指明,指派|151393|41071139|59|1625944
desirable|称心的|140786|41159135|61|1093665
desire|希望,欲望|534706|40913949|33|225128
flaw|裂缝,缺陷|1517045|40371951|26|164836
flexible|柔韧的,可变通的|2064567|39809074|23|198787
fling|扔|72806867|37015852|13|49707
flourish|茂盛,流畅的曲线|534709|40913959|35|439410
grow|增长,成为|534189|40983185|60|994600
growth|发展|2216741|41071148|26|202211
hinder|妨碍,阻止|773921|40893717|52|398501
hint|暗示,建议|735697|40579774|50|297752
hitherto|迄今|405754|40976523|25|250319
impact|冲击,影响|1416796|40579788|45|451479
impair|削弱,损害|1517666|39782433|57|636898
impart|给予,透露|773937|40893733|83|974949
implement|实施,工具|151405|41071155|68|500098
implication|暗示,含义|2141015|40673467|68|562514
implicit|含蓄的,绝对的|2212613|41080111|74|755601
imply|暗示,意味着|1743113|40169901|29|155136
import|含义,进口|1712682|39803578|41|359322
important|有权利的,重要的|1828247|39636304|22|229248
impose|征税,把强加于|1416791|40579803|51|437800
impress|盖印,留下印象|1652282|40408368|56|605505
impression|感想,压痕|1416797|40579811|57|769487
impressive|感人的,印象深刻的|534637|40913970|55|567454
improve|改善|1177377|40372166|56|564882
impulse|推动,冲动|432130|40771804|52|332881
limited|有责任的,有限的|1935185|39685693|29|207725
origin|起源,血统|1509644|40579836|36|393235
original|原始的,新颖的|773332|40893744|44|434890
originate|发源,开创|773293|40893750|60|575327
petition|请愿,申请书|290909|40943988|96|902700
phase|阶段,相位|2064151|39809169|30|200831
phenomenon|非凡的人,现象|2059169|39248634|12|93414
philosophy|哲学家|4426143|39782424|10|375909
phrase|短语|422833|40913973|32|392703
physical|物质的,身体的|2059181|39248654|17|114243
physician|医生|1632538|40722957|43|262669
pierce|刺入,看透|1497644|39769994|31|211410
reason|道理,推理|2064153|39809188|37|320673
reasonable|合理的,通情达理的|735481|40579852|48|386963
recent|新近的|6284541|40943972|10|88497
serve|有用,满足|1416868|40579859|55|2177258
servant|仆人,忠于某人的人|2236551|40231830|38|314278
service|公共设施,维修|432121|40771805|45|422900
set|落山,放置|1802423|40762826|33|295341
setback|挫折,延迟|2216689|41071161|28|197409
setting|环境,安装|432111|40771806|63|521684
settle|解决,安顿|1712613|39803598|38|288272
settlement|解决,调停|1927276|39636313|20|207158
several|各自的,几个|432103|40771807|99|836862
severe|严格的,剧烈的|759268|40846720|114|1099912
shape|种类,体型|1254497|40722962|41|299265
share|股份,一份|2063767|39809199|19|146827
sharp|锋利的,鲜明的|2063759|39809207|29|272201
shelter|掩蔽,掩蔽处|2059173|39248692|36|219844
sophisticated|老练的,复杂度|2216677|41071170|44|399738
sovereign|君主,至高无上的|1536602|39693620|25|387020
sow|播种,传播|2063793|39809235|17|84708
toll|代价,钟声|773108|40893756|48|334009
tone|音调,气氛|2063786|39809254|18|129949
topic|话题|4999844|40141290|13|51788
choke|窒息,抑制|1712593|39803620|30|264105
chop|降低,劈|1152300|40486809|48|371095
circumstance|形势,经济情况|2236487|40231846|28|469843
cite|引用|72801537|37016429|16|80043
claim|主张,索赔|1152479|40486926|53|5197319
clear|明白的,清楚的|2216764|41071234|33|334449
border|边境,邻接|1712585|39803629|37|432607
bore|使厌烦,钻孔|1712588|39803638|39|616238
born|天生的|2524372|41001536|19|1615370
bother|打扰,操心|1712588|39803644|51|354550
acquire|取得,学到|1712588|39803651|71|564928
acquisition|获得,获得物|1712588|39803656|54|596594
act|法令,起作用|1988074|41093962|45|415798
action|战斗,作用|847010|40649707|44|534844
active|现行的,积极地|596525|40579867|78|803724
activity|活力,活跃|2236401|40231848|61|578505
actual|实在的,实际的|1712570|39803661|39|408321
acute|剧烈的,敏锐的|759282|40846733|48|1789769
despise|鄙视|2236383|40231850|35|239032
despite|不管,即使|1712559|39803671|35|814061
energetic|有力的|2747276|40649711|36|250553
energy|活力,能量|432090|40771808|62|438493
enforce|强迫,实施|1147868|40858880|35|308522
engage|吸引,尽力理解|1376037|40649713|61|778114
engagement|约定,婚约|2512199|39636324|31|227202
fold|折叠,褶痕|772714|40893770|35|210686
folk|人们,民间的|774833|40893793|38|310574
follow|跟随,领会|780797|40426919|33|232919
following|接着的|72802711|37017109|15|76086
force|力量,势力|1152434|40486935|47|389221
fore|重要的,在前部的|1742969|40169933|49|450601
forecast|预测|72805923|37017137|16|89366
foresee|预知|2421831|40120390|23|122173
forge|锻造,伪造|2318817|40283411|32|194265
grim|严厉的,非常严肃的|2057317|39805310|57|485874
grasp|抓住,领会|2318828|40283423|29|193506
grip|抓紧,吸引住|2318881|40283463|26|220439
gross|总的,严重的|1098521|40372335|65|1011093
ground|地面,理由|430340|40938592|33|307276
group|集团,乐队|1152442|40486944|36|576110
guarantee|保证|72784359|37005075|11|62724
guard|守卫,看守|1041247|40934274|19|127755
inclusive|包括的,范围广的|1900050|40120394|41|458549
income|收入|3113775|41026861|14|192953
incorporate|包含,合并|1137473|40396684|61|735455
increase|增加|2593137|40120415|32|179539
increasingly|日益|3014367|38524531|9|45197
